episode,reward
1,-73271.52213043596
2,-75705.61136747616
3,-78949.46220595694
4,-65521.91481849714
5,-8873.663722303794
6,-7038.406289482347
7,-6076.842699324669
8,-10979.294924065565
9,-5998.826459845043
10,-6166.139797299384
11,-10159.243388734718
12,-8027.960944591423
13,-10246.484085187105
14,-9121.216315321102
15,-8064.525715859245
16,-6100.366468957567
17,-9103.512979197514
18,-17877.180645036413
19,-5116.099732694007
20,-14924.792523712347
21,-10069.230440779353
22,-12026.953791161348
23,-7886.397616200018
24,-6105.892067681119
25,-5943.1770285962575
26,-5905.863667795574
27,-13111.820921318902
28,-17783.009602447048
29,-9119.356999734546
30,-15888.291171133995
31,-10176.920145678798
32,-9060.497329135214
33,-5003.16429731051
34,-12978.049154777307
35,-6279.124158962429
36,-8058.471745292035
37,-9042.451108334782
38,-6272.681493226392
39,-6160.6085776542295
40,-9066.996633802304
41,-10159.740347623047
42,-14244.013210554871
43,-12932.318581154079
44,-8101.703171131862
45,-7226.432231179107
46,-11073.41664538808
47,-9096.438653811581
48,-7121.290382865917
49,-4347.794848375704
50,-7043.700884656833
51,-10046.880409906822
52,-11081.157896336494
53,-8981.447297186267
54,-6001.149981204467
55,-15000.27956873371
56,-15145.177994356805
57,-7007.998748010742
58,-8979.550379885985
59,-9060.207460980439
60,-15936.916095630751
61,-6100.403429321848
62,-13017.471737246608
63,-7594.626655621005
64,-8162.212548803858
65,-10158.141355313925
66,-2935.81089949493
67,-10285.855564303543
68,-13982.216535687581
69,-7171.2070358892715
70,-8221.44734690641
71,-11014.945472343452
72,-10027.753727978221
73,-14696.578058815581
74,-6127.459845854204
75,-12145.586256119084
76,-10980.61727052354
77,-9110.38241471344
78,-10927.87472038564
79,-9180.55618438481
80,-15076.589010616983
81,-8041.669947518943
82,-11037.444573831213
83,-11247.527383937993
84,-10240.01035356614
85,-5165.433244783786
86,-12892.937147442195
87,-9997.125471430114
88,-4959.537548508844
89,-8097.268391377115
90,-20870.1612355254
91,-8103.428419788432
92,-8123.343367130183
93,-9207.939864431666
94,-6928.0386469702535
95,-6051.359973444197
96,-11039.100893764456
97,-12099.091533844905
98,-11152.887963924511
99,-6798.2093929252405
100,-12958.34116151203
101,-7406.210759634247
102,-9397.077622604158
103,-10371.721620750895
104,-10414.152848729938
105,-11143.716918249043
106,-5378.068554304485
107,-5510.221057006495
108,-6380.202514854647
109,-7206.6112446849165
110,-5444.142035815576
111,-14376.70376983889
112,-9331.994275058212
113,-7437.499737056221
114,-6433.640964064645
115,-8396.473041671532
116,-8470.394992018782
117,-7530.34136841538
118,-7508.467526918648
119,-7456.566702932397
120,-11341.029108123032
121,-12335.843096306176
122,-6569.132295864019
123,-12300.559588559963
124,-9328.463517889937
125,-10335.831531401323
126,-10361.09992298776
127,-7363.357248788855
128,-9427.604962063067
129,-13730.532864570585
130,-12258.19035858781
131,-11303.075464970205
132,-12298.395606809509
133,-12361.12801292756
134,-8471.380302985779
135,-11277.748678748341
136,-13050.903221204955
137,-14059.343430509565
138,-21847.479612289277
139,-14058.030003181117
140,-21868.383778025916
141,-14674.877452670526
142,-11115.245268355035
143,-6237.376835104334
144,-7339.876299359215
145,-5172.467402777123
146,-5107.373660522676
147,-8135.069987977793
148,-5210.5584283397675
149,-7216.931494056467
150,-11193.630302262161
151,-7185.035409617324
152,-6194.480596314308
153,-6147.370132637528
154,-8246.980505894948
155,-5449.515398754803
156,-8355.698118063505
157,-7285.992298379981
158,-5305.684680158101
159,-6368.928827230101
160,-7307.090323852858
161,-5218.08543726606
162,-10269.836959354645
163,-10429.493630493445
164,-7455.6015605639695
165,-7352.722753822429
166,-6305.127790384674
167,-7334.842460542635
168,-8324.837195884218
169,-5424.313616870293
170,-11314.048251770313
171,-7389.1532330693035
172,-10298.238829644026
173,-7504.894238760333
174,-11420.167311093472
175,-8412.51992172297
176,-15314.995189893625
177,-10405.608514846454
178,-14235.302067410286
179,-5436.010350482303
180,-9294.181487447762
181,-9481.486251698834
182,-16010.672432136262
183,-8329.69047336033
184,-5531.483067538021
185,-8476.497857615808
186,-20002.34039206907
187,-7350.37620000046
188,-6512.981871774984
189,-13329.615304890893
190,-8405.918482947773
191,-5456.5483840314255
192,-6413.905603507785
193,-14117.57007969022
194,-10344.119683850155
195,-10394.033841290182
196,-10200.246729064265
197,-7398.0667933126415
198,-14139.523470258468
199,-11361.967049201792
200,-6393.887536824219
201,-6277.689970462473
202,-6494.972662462768
203,-5461.2803333651755
204,-5045.602669039076
205,-14355.384212311199
206,-5355.103641527308
207,-7348.935862207569
208,-13134.154551124473
209,-7354.511989427384
210,-9503.936136112492
211,-12139.909018039458
212,-8904.01102352948
213,-16337.073995098102
214,-6583.682808957248
215,-5387.530401642082
216,-19263.64230893996
217,-13366.440193165417
218,-7558.561660148946
219,-5482.853657908014
220,-11356.072824603323
221,-6357.1021691661035
222,-5365.462696110732
223,-8554.20953532538
224,-5444.37608925275
225,-5198.449924261369
226,-5408.493190174177
227,-5377.950923954757
228,-7516.180009793021
229,-6288.23575916434
230,-6276.762029219278
231,-6310.310439078219
232,-7433.550646182222
233,-7555.660134406111
